,date,car_model,brand,units_sold,price,total_sales
101,2023-08-22,Kushaq,Skoda,9.0,1300000.0,11700000.0
102,2023-08-22,Slavia,Skoda,9.0,1350000.0,12150000.0
103,2023-08-29,Kushaq,Skoda,18.0,1300000.0,23400000.0
104,2023-08-30,Verna,Hyundai,25.0,1100000.0,27500000.0
105,2023-08-30,Seltos,Kia,20.0,1250000.0,25000000.0
106,2023-08-31,Kushaq,Skoda,16.0,1300000.0,20800000.0
107,2023-08-31,Swift,Maruti,16.0,,
108,2023-09-09,Swift,Maruti,7.0,650000.0,4550000.0
109,2023-09-11,Brezza,Maruti,5.0,850000.0,4250000.0
110,2023-09-12,Verna,Hyundai,8.0,1100000.0,8800000.0
111,2023-09-14,Punch,Tata,7.0,600000.0,4200000.0
112,2023-09-15,Brezza,Maruti,6.0,850000.0,5100000.0
113,2023-09-15,Harrier,Tata,20.0,1700000.0,34000000.0
114,2023-09-18,Thar,Mahindra,18.0,1500000.0,27000000.0
115,2023-09-18,Venue,Hyundai,9.0,950000.0,8550000.0
116,2023-09-19,Nexon,Tata,5.0,800000.0,4000000.0
117,2023-09-22,Thar,Mahindra,22.0,1500000.0,33000000.0
118,2023-09-30,Kushaq,Skoda,15.0,1300000.0,19500000.0
119,2023-10-01,Creta,Hyundai,54.0,1200000.0,64800000.0
120,2023-10-01,Safari,Tata,38.0,1800000.0,68400000.0
121,2023-10-03,Brezza,Maruti,32.0,850000.0,27200000.0
122,2023-10-05,Brezza,Maruti,41.0,850000.0,34850000.0
123,2023-10-05,XUV700,Mahindra,20.0,2000000.0,40000000.0
124,2023-10-15,Swift,Maruti,43.0,,
125,2023-10-16,Harrier,Tata,38.0,1700000.0,64600000.0
126,2023-10-17,Safari,Tata,28.0,1800000.0,50400000.0
127,2023-10-17,Brezza,Maruti,35.0,850000.0,29750000.0
128,2023-10-18,Safari,Tata,52.0,1800000.0,93600000.0
129,2023-10-19,Nexon,Tata,27.0,800000.0,21600000.0
130,2023-10-20,Brezza,Maruti,32.0,,
131,2023-10-20,Thar,Mahindra,25.0,1500000.0,37500000.0
132,2023-10-22,Creta,Hyundai,39.0,,
133,2023-10-22,Venue,Hyundai,25.0,950000.0,23750000.0
134,2023-10-29,Harrier,Tata,27.0,1700000.0,45900000.0
135,2023-11-02,Verna,Hyundai,42.0,1100000.0,46200000.0
136,2023-11-05,Seltos,Kia,49.0,1250000.0,61250000.0
137,2023-11-10,Slavia,Skoda,39.0,1350000.0,52650000.0
138,2023-11-15,City,Honda,43.0,1100000.0,47300000.0
139,2023-11-15,Venue,Hyundai,29.0,950000.0,27550000.0
140,2023-11-17,Amaze,Honda,51.0,800000.0,40800000.0
141,2023-11-20,Brezza,Maruti,43.0,850000.0,36550000.0
142,2023-11-21,Seltos,Kia,50.0,1250000.0,62500000.0
143,2023-11-21,Sonet,Kia,20.0,900000.0,18000000.0
144,2023-11-26,Punch,Tata,44.0,600000.0,26400000.0
145,2023-11-29,Sonet,Kia,38.0,900000.0,34200000.0
146,2023-12-04,Harrier,Tata,46.0,1700000.0,78200000.0
147,2023-12-05,Baleno,Maruti,,,
148,2023-12-06,XUV700,Mahindra,47.0,2000000.0,94000000.0
149,2023-12-09,Verna,Hyundai,30.0,1100000.0,33000000.0
150,2023-12-09,XUV700,Mahindra,28.0,2000000.0,56000000.0
151,2023-12-09,Seltos,Kia,31.0,1250000.0,38750000.0
152,2023-12-11,City,Honda,55.0,1100000.0,60500000.0
153,2023-12-11,Kushaq,Skoda,30.0,1300000.0,39000000.0
154,2023-12-12,Slavia,Skoda,28.0,1350000.0,37800000.0
155,2023-12-13,Sonet,Kia,50.0,900000.0,45000000.0
156,2023-12-15,Safari,Tata,26.0,1800000.0,46800000.0
157,2023-12-16,Baleno,Maruti,26.0,700000.0,18200000.0
158,2023-12-18,XUV700,Mahindra,40.0,2000000.0,80000000.0
159,2023-12-19,Kushaq,Skoda,21.0,1300000.0,27300000.0
160,2023-12-20,XUV700,Mahindra,25.0,2000000.0,50000000.0
161,2023-12-20,Slavia,Skoda,36.0,1350000.0,48600000.0
162,2023-12-24,Baleno,Maruti,54.0,700000.0,37800000.0
163,2023-12-31,Kushaq,Skoda,23.0,1300000.0,29900000.0
