user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
90,2024-10-28,Standard,399,17.8,6.0,1.0,30,46.0,No
91,2023-10-02,Standard,399,19.5,7.0,3.0,35,52.0,Yes
92,2024-04-20,Standard,399,20.9,1.0,2.0,16,56.0,Yes
93,2023-12-30,Premium,699,8.7,7.0,2.0,25,11.0,Yes
94,2023-07-15,Standard,399,,4.0,,22,0.0,No
95,2024-05-02,Basic,199,18.1,,4.0,16,48.0,Yes
96,2024-12-09,Premium,699,11.5,0.0,,32,18.0,No
97,2024-03-11,Basic,199,16.8,5.0,3.0,20,35.0,Yes
98,2023-05-04,Premium,699,8.6,7.0,2.0,36,,Yes
99,2024-05-10,Premium,699,8.2,8.0,5.0,13,11.0,Yes
100,2023-07-03,,399,15.1,1.0,1.0,34,,No
101,2024-07-20,Standard,399,17.8,2.0,2.0,1,2.0,No
102,2023-10-19,Standard,399,16.1,,0.0,9,,Yes
103,2024-05-04,Standard,399,11.3,2.0,0.0,31,,No
104,2023-06-05,Basic,199,10.3,1.0,4.0,5,40.0,No
105,2024-09-12,Basic,199,2.6,3.0,0.0,20,35.0,No
106,2024-08-25,Premium,699,19.5,6.0,3.0,15,58.0,Yes
107,2023-08-01,Standard,399,14.4,0.0,4.0,20,47.0,Yes
108,2023-03-18,Premium,699,7.0,1.0,1.0,14,,No
109,2024-12-24,Basic,199,10.5,7.0,2.0,1,2.0,Yes
110,2024-08-26,Standard,399,2.2,3.0,2.0,30,50.0,Yes
111,2023-09-30,Premium,699,10.9,8.0,1.0,13,41.0,Yes
112,2023-10-23,Basic,199,2.0,4.0,4.0,5,47.0,Yes
113,2024-05-27,Standard,399,12.0,4.0,,8,25.0,No
114,2023-09-14,Premium,699,11.2,0.0,3.0,32,47.0,Yes
115,2023-02-11,Basic,199,6.1,0.0,5.0,6,52.0,Yes
116,2024-03-22,Basic,199,13.2,7.0,2.0,31,11.0,No
117,2024-11-17,Premium,699,24.2,,2.0,32,26.0,Yes
118,2024-07-17,Basic,199,8.6,7.0,2.0,11,42.0,No
119,2024-02-18,Basic,199,2.7,4.0,2.0,30,,No
120,2024-06-14,Premium,699,16.6,8.0,3.0,1,26.0,Yes
121,2023-10-22,Standard,399,15.8,0.0,1.0,32,17.0,No
122,2023-01-15,Standard,399,3.5,3.0,5.0,32,10.0,Yes
123,2023-06-07,Premium,699,2.8,1.0,3.0,27,60.0,Yes
124,2024-04-28,Standard,399,13.0,4.0,,19,53.0,Yes
125,2023-05-20,Basic,199,,6.0,1.0,30,58.0,No
126,2023-10-01,Basic,199,19.4,6.0,2.0,18,59.0,No
127,2023-12-20,,199,18.3,7.0,1.0,19,28.0,No
128,2023-07-13,Standard,399,19.2,6.0,3.0,36,59.0,Yes
129,2024-04-29,,699,14.5,3.0,3.0,16,2.0,Yes
130,2024-08-27,Premium,699,10.0,,3.0,25,,Yes
131,2023-01-16,Standard,399,21.9,,0.0,7,33.0,No
132,2023-09-29,Premium,699,10.5,2.0,0.0,10,30.0,No
133,2023-11-21,Standard,399,16.4,,5.0,26,54.0,Yes
134,2024-12-01,Premium,699,21.9,,4.0,32,4.0,Yes
135,2023-04-13,,399,18.8,6.0,0.0,15,48.0,No
136,2023-10-28,Standard,399,17.5,0.0,,11,20.0,No
137,2023-07-04,Standard,399,11.1,3.0,4.0,24,26.0,Yes
138,2024-08-20,Basic,199,2.4,6.0,4.0,12,43.0,Yes
139,2024-04-21,Basic,199,11.8,4.0,3.0,15,16.0,No
140,2024-03-10,Standard,399,4.4,7.0,2.0,35,,Yes
141,2023-04-20,Premium,699,11.7,4.0,1.0,17,24.0,No
142,2024-11-05,Basic,199,,4.0,,25,18.0,Yes
143,2023-10-21,Standard,399,0.7,0.0,4.0,18,47.0,Yes
144,2024-11-06,Basic,199,5.9,3.0,4.0,23,16.0,No
145,2024-08-16,Premium,699,15.9,0.0,,9,50.0,Yes
146,2023-07-25,Standard,399,2.7,4.0,100,9,47.0,Yes
147,2023-06-18,Basic,199,22.0,5.0,4.0,35,32.0,No
148,2023-04-28,,399,24.2,4.0,5.0,31,55.0,Yes
149,2024-02-11,Standard,399,3.9,3.0,5.0,5,46.0,Yes
150,2024-04-10,Premium,699,2.7,6.0,0.0,24,,No
151,2023-01-26,Standard,399,14.8,5.0,0.0,17,43.0,Yes
152,2024-04-20,Premium,699,8.5,3.0,5.0,36,4.0,No
153,2023-11-08,,699,16.4,1.0,1.0,20,,No
154,2024-11-17,Standard,399,2.9,8.0,1.0,8,24.0,Yes
155,2024-05-16,Premium,699,10.8,2.0,3.0,35,41.0,Yes
156,2024-03-30,Premium,699,23.5,4.0,0.0,27,,Yes
157,2024-10-22,Standard,399,21.5,1.0,5.0,16,23.0,Yes
158,2024-04-10,Standard,399,10.3,,0.0,4,60.0,No
159,2023-05-09,Basic,199,16.2,0.0,0.0,14,50.0,Yes
160,2023-08-27,Premium,699,2.2,8.0,,14,37.0,Yes
161,2023-05-14,Standard,399,19.8,0.0,2.0,10,54.0,No
162,2023-01-16,Premium,699,20.1,1.0,5.0,17,55.0,Yes
163,2024-03-07,Standard,399,14.9,0.0,1.0,16,16.0,Yes
164,2024-08-30,Premium,699,18.8,7.0,3.0,8,49.0,Yes
165,2024-11-05,Basic,199,12.8,0.0,5.0,29,50.0,No
166,2024-03-12,Premium,699,11.7,0.0,0.0,20,30.0,No
167,2024-09-14,Premium,699,12.5,7.0,0.0,7,57.0,Yes
168,2024-09-03,Basic,199,3.6,,5.0,5,20.0,Yes
169,2024-11-01,,699,11.6,,0.0,19,50.0,No
170,2024-02-28,,699,18.2,3.0,3.0,36,28.0,No
171,2023-09-19,Standard,399,10.3,1.0,2.0,30,27.0,Yes
172,2023-04-06,Standard,399,17.3,,0.0,10,5.0,No
173,2024-07-29,Standard,399,18.7,5.0,1.0,7,35.0,Yes
174,2024-03-09,Premium,699,16.9,6.0,2.0,22,55.0,Yes
175,2023-08-06,Premium,699,24.2,4.0,2.0,4,6.0,No
176,2023-04-28,Basic,199,,1.0,2.0,31,54.0,Yes
177,2024-07-24,,399,20.3,8.0,4.0,15,39.0,Yes
178,2023-12-14,Basic,199,1.2,,5.0,18,48.0,Yes
179,2023-05-26,Standard,399,,2.0,4.0,1,42.0,Yes
180,2023-12-16,Premium,699,2.7,8.0,1.0,2,24.0,Yes
181,2023-02-23,Basic,199,8.1,5.0,4.0,24,,Yes
182,2024-11-08,Basic,199,19.0,0.0,5.0,11,5.0,Yes
183,2023-04-27,Standard,399,15.4,6.0,2.0,32,13.0,No
184,2023-08-14,,399,3.2,7.0,4.0,28,42.0,Yes
185,2023-09-19,Standard,399,0.7,4.0,1.0,4,49.0,Yes
186,2024-01-25,Standard,399,3.4,7.0,5.0,21,27.0,Yes
187,2023-02-13,Premium,699,12.8,5.0,0.0,15,25.0,No
188,2024-02-19,Standard,399,11.8,1.0,2.0,2,36.0,Yes
189,2024-09-24,Premium,699,7.6,6.0,0.0,27,20.0,Yes
190,2024-06-20,,399,2.7,1.0,1.0,24,27.0,Yes
191,2023-03-20,Basic,199,21.8,5.0,1.0,26,21.0,No
192,2024-10-22,,699,13.5,3.0,2.0,8,22.0,No
193,2024-11-02,Basic,199,3.0,4.0,1.0,16,11.0,No
194,2024-08-16,Basic,199,23.8,7.0,3.0,12,48.0,Yes
195,2024-03-28,Standard,399,,5.0,1.0,21,28.0,Yes
196,2024-04-17,Premium,699,20.0,0.0,2.0,20,32.0,Yes
197,2023-04-03,,399,,4.0,0.0,3,41.0,No
198,2024-08-08,Premium,699,9.9,8.0,5.0,33,57.0,Yes
199,2024-04-06,Premium,699,8.4,7.0,4.0,13,9.0,No
200,2023-09-11,Basic,199,24.6,1.0,4.0,22,41.0,Yes
201,2024-01-17,Premium,699,24.8,8.0,4.0,29,39.0,Yes
202,2024-10-08,Standard,399,10.5,5.0,,25,38.0,Yes
203,2023-09-16,,699,2.1,1.0,4.0,22,43.0,Yes
204,2024-12-16,Premium,699,8.7,2.0,2.0,10,19.0,No
205,2023-12-03,Premium,699,3.7,1.0,2.0,26,35.0,Yes
206,2023-11-13,Basic,199,2.8,6.0,4.0,34,23.0,Yes
207,2023-06-08,Basic,199,8.9,7.0,1.0,14,14.0,No
208,2024-06-23,,199,21.2,1.0,4.0,19,49.0,Yes
209,2023-07-05,Basic,199,22.0,2.0,4.0,22,,Yes
210,2023-09-01,Premium,699,18.2,0.0,3.0,11,23.0,No
211,2024-04-25,Standard,399,18.9,7.0,1.0,19,34.0,Yes
212,2024-01-27,Basic,199,,7.0,3.0,24,,Yes
213,2023-09-14,Premium,699,10.8,2.0,1.0,34,51.0,No
214,2023-05-08,,199,21.9,8.0,0.0,31,45.0,No
215,2024-03-23,Standard,399,19.2,4.0,3.0,6,57.0,Yes
216,2024-05-29,Basic,199,20.5,5.0,0.0,15,26.0,Yes
217,2023-04-12,Standard,399,10.0,1.0,2.0,16,14.0,Yes
218,2024-04-28,Premium,699,19.9,2.0,0.0,22,18.0,No
219,2023-03-23,Premium,699,19.1,7.0,3.0,9,,Yes
220,2024-06-24,Basic,199,5.8,2.0,4.0,17,60.0,No
221,2024-03-05,Standard,399,19.5,3.0,2.0,8,7.0,Yes
222,2024-06-11,Premium,699,2.0,7.0,,30,34.0,Yes
223,2023-09-04,,699,18.1,4.0,,16,0.0,No
224,2024-06-22,Premium,699,5.1,1.0,4.0,27,23.0,Yes
225,2024-04-26,,699,19.8,8.0,4.0,33,1.0,Yes
226,2023-03-11,,199,24.5,4.0,5.0,25,1.0,Yes
227,2023-05-17,Standard,399,18.5,1.0,4.0,16,,No
228,2024-05-05,Basic,199,13.9,2.0,5.0,23,29.0,No
229,2023-02-07,Premium,699,20.4,1.0,5.0,12,49.0,No
230,2024-06-11,,399,1.6,3.0,0.0,13,20.0,No
231,2023-02-18,Standard,399,12.1,,5.0,35,12.0,Yes
232,2024-03-26,Premium,699,7.2,5.0,3.0,22,56.0,Yes
233,2024-06-15,Standard,399,24.4,7.0,5.0,22,31.0,Yes
234,2023-07-04,Standard,399,,1.0,3.0,6,38.0,No
235,2024-04-01,Premium,699,8.4,1.0,2.0,19,42.0,Yes
236,2023-12-28,Premium,699,4.6,7.0,2.0,28,28.0,Yes
237,2024-01-08,Premium,699,7.2,0.0,0.0,28,42.0,No
238,2023-02-05,Premium,699,23.8,2.0,4.0,11,,No
239,2023-02-03,Basic,199,6.3,5.0,2.0,5,24.0,No
240,2024-08-10,Premium,699,,5.0,,10,28.0,No
241,2023-04-27,Basic,199,9.5,5.0,5.0,34,17.0,Yes
242,2023-09-24,Basic,199,12.7,6.0,4.0,12,7.0,Yes
243,2023-07-24,,699,5.8,,5.0,29,58.0,No
244,2023-03-31,Basic,199,21.4,7.0,1.0,9,57.0,No
245,2023-11-04,Premium,699,16.9,1.0,4.0,21,34.0,Yes
246,2023-05-23,Basic,199,19.9,8.0,1.0,12,7.0,No
247,2024-07-18,Basic,199,1.1,8.0,4.0,32,23.0,Yes
248,2024-02-25,Basic,199,2.1,6.0,5.0,6,46.0,Yes
249,2024-11-27,Standard,399,3.6,5.0,5.0,5,4.0,Yes
250,2023-05-13,Premium,699,3.6,8.0,,23,37.0,Yes
251,2023-06-18,Standard,399,22.8,0.0,0.0,33,33.0,Yes
252,2023-10-18,Basic,199,23.4,3.0,2.0,21,,No
253,2024-09-21,Basic,199,5.3,8.0,2.0,17,8.0,No
254,2023-06-25,Premium,699,12.8,2.0,4.0,6,60.0,Yes
255,2024-10-18,Premium,699,21.1,0.0,0.0,22,5.0,Yes
256,2024-10-04,Premium,699,16.5,6.0,4.0,17,40.0,Yes
257,2024-12-02,Premium,699,16.2,4.0,3.0,19,15.0,No
258,2024-04-20,Standard,399,11.6,0.0,1.0,20,28.0,No
259,2023-12-20,Basic,199,15.4,5.0,5.0,22,20.0,No
260,2024-04-22,,399,19.1,8.0,4.0,9,6.0,Yes
261,2024-01-29,Basic,199,11.5,2.0,0.0,18,3.0,No
262,2023-11-17,Premium,699,6.6,2.0,2.0,27,59.0,Yes
263,2024-05-24,Basic,199,12.7,,3.0,11,31.0,No
264,2023-12-28,Basic,199,23.7,8.0,3.0,6,15.0,Yes
265,2023-04-21,Basic,199,7.4,7.0,2.0,4,34.0,Yes
266,2023-02-22,,399,22.1,5.0,3.0,9,23.0,Yes
267,2024-04-06,Premium,699,5.3,8.0,2.0,36,4.0,Yes
268,2023-12-14,Premium,699,20.7,1.0,1.0,18,6.0,No
269,2023-02-11,Premium,699,19.0,3.0,4.0,24,32.0,Yes
270,2024-09-12,Basic,199,3.9,5.0,3.0,3,33.0,Yes
271,2023-11-03,Premium,699,8.5,5.0,1.0,9,25.0,No
272,2023-11-03,Premium,699,12.9,8.0,4.0,22,31.0,Yes
273,2024-12-05,Standard,399,9.5,1.0,3.0,2,37.0,Yes
274,2024-08-15,Premium,699,15.1,4.0,5.0,2,50.0,No
275,2024-09-26,Premium,699,18.2,7.0,1.0,15,33.0,No
276,2023-04-23,Standard,399,20.6,3.0,0.0,10,,No
277,2024-02-25,Basic,199,11.3,6.0,1.0,2,26.0,No
278,2024-07-28,Premium,699,21.9,0.0,5.0,31,8.0,No
279,2023-12-17,Standard,399,13.4,5.0,1.0,31,29.0,No
280,2023-09-10,Premium,699,17.1,4.0,,23,30.0,Yes
281,2024-12-22,Standard,399,7.8,4.0,2.0,36,45.0,Yes
282,2024-08-10,Standard,399,12.3,8.0,5.0,21,,Yes
283,2023-10-25,,699,9.8,6.0,2.0,35,,No
284,2023-09-20,Basic,199,23.9,1.0,2.0,19,59.0,Yes
285,2023-10-06,Premium,699,5.7,,2.0,31,59.0,Yes
286,2024-06-27,Basic,199,15.6,3.0,1.0,7,3.0,No
287,2024-11-28,Basic,199,1.8,6.0,2.0,15,45.0,Yes
288,2024-05-02,Basic,199,24.1,2.0,,1,41.0,No
289,2023-04-02,Standard,399,19.0,4.0,2.0,13,18.0,No
290,2023-06-30,Premium,699,13.6,0.0,,15,26.0,No
291,2023-02-08,,199,19.8,2.0,5.0,26,55.0,No
292,2024-10-18,,199,14.4,1.0,2.0,20,18.0,No
293,2023-04-26,Premium,699,12.6,2.0,4.0,34,29.0,Yes
294,2023-12-12,Standard,399,18.4,4.0,5.0,11,11.0,Yes
295,2024-02-15,Standard,399,4.8,6.0,3.0,13,32.0,Yes
296,2023-01-07,Premium,699,5.0,2.0,3.0,7,20.0,No
297,2024-08-09,Standard,399,,4.0,2.0,25,19.0,No
298,2023-11-11,Basic,199,16.5,,0.0,17,42.0,Yes
299,2023-10-30,,199,,4.0,5.0,26,7.0,No
300,2024-09-12,Standard,399,5.9,2.0,3.0,15,9.0,No
301,2023-08-12,Standard,399,17.7,7.0,4.0,27,51.0,Yes
302,2024-07-31,Basic,199,13.4,8.0,5.0,6,23.0,Yes
303,2023-06-18,Basic,199,20.8,8.0,,4,36.0,No
304,2024-06-06,Standard,399,11.3,3.0,5.0,34,,Yes
305,2024-07-26,,399,11.6,8.0,3.0,4,,Yes
306,2023-08-12,Standard,399,18.2,6.0,2.0,20,52.0,Yes
307,2023-03-03,Premium,699,1.6,5.0,5.0,5,4.0,Yes
308,2024-10-18,Basic,199,1.3,6.0,,31,49.0,Yes
309,2024-01-22,Premium,699,9.7,6.0,3.0,27,55.0,No
310,2023-05-02,Standard,399,,8.0,1.0,6,41.0,No
311,2023-01-24,Basic,199,10.1,2.0,5.0,35,14.0,No
312,2023-08-24,Standard,399,17.0,8.0,3.0,30,34.0,Yes
313,2023-04-26,Basic,199,9.0,4.0,1.0,30,59.0,No
314,2024-08-31,Basic,199,15.6,0.0,1.0,27,13.0,Yes
315,2024-03-25,,199,15.1,0.0,1.0,29,47.0,Yes
316,2023-08-28,Basic,199,5.8,0.0,1.0,35,32.0,No
317,2024-11-07,Premium,699,14.6,5.0,1.0,21,19.0,No
318,2023-06-29,Premium,699,10.6,4.0,0.0,15,35.0,No
319,2024-01-26,Premium,699,,0.0,,28,,No
320,2024-07-04,Premium,699,17.6,,1.0,21,19.0,No
321,2023-03-01,Standard,399,21.3,4.0,5.0,16,9.0,No
322,2023-09-19,Premium,699,,8.0,,27,,Yes
323,2023-07-15,Basic,199,,7.0,2.0,22,5.0,No
324,2024-08-24,Basic,199,9.7,0.0,0.0,18,12.0,No
325,2023-01-16,Premium,699,5.8,,2.0,36,19.0,No
326,2023-09-06,Basic,199,24.1,,5.0,13,48.0,Yes
327,2024-01-25,Premium,699,10.2,3.0,4.0,14,20.0,No
328,2024-05-24,,399,16.4,4.0,2.0,35,,Yes
329,2023-11-17,Standard,399,20.2,7.0,2.0,7,58.0,Yes
330,2024-07-20,Standard,399,14.3,3.0,5.0,3,9.0,Yes
331,2023-09-09,Premium,699,7.7,3.0,2.0,27,14.0,No
332,2024-10-19,Standard,399,,5.0,2.0,36,48.0,No
333,2024-05-15,Premium,699,11.8,5.0,1.0,32,8.0,No
334,2023-03-18,Basic,199,24.8,0.0,,35,2.0,No
335,2023-03-11,Premium,699,19.2,6.0,1.0,4,53.0,No
336,2024-10-15,Premium,699,0.7,8.0,3.0,10,23.0,Yes
337,2023-01-13,Premium,699,16.7,0.0,0.0,31,34.0,No
338,2024-12-15,Basic,199,18.2,8.0,2.0,34,1.0,No
339,2023-06-02,,699,20.3,2.0,,28,58.0,Yes
340,2023-03-22,Basic,199,15.7,4.0,2.0,13,17.0,No
341,2023-03-24,Standard,399,11.7,3.0,,26,,Yes
342,2024-10-14,Premium,699,2.8,6.0,3.0,3,35.0,Yes
343,2023-04-08,Basic,199,2.5,6.0,5.0,11,50.0,Yes
344,2024-12-01,Premium,699,6.1,,2.0,3,2.0,No
345,2023-01-17,,399,14.3,0.0,1.0,35,59.0,No
346,2023-09-04,Basic,199,18.9,6.0,0.0,10,19.0,Yes
347,2023-05-24,Premium,699,17.1,,,25,,No
348,2023-03-19,Premium,699,12.8,5.0,0.0,6,6.0,No
349,2024-04-06,Standard,399,24.2,5.0,0.0,26,40.0,Yes
350,2024-11-07,Standard,399,9.2,6.0,3.0,15,11.0,No
351,2023-10-02,Standard,399,19.4,4.0,1.0,6,45.0,Yes
352,2023-04-20,,199,17.9,,5.0,25,24.0,Yes
353,2023-05-16,Basic,199,23.6,,2.0,1,48.0,Yes
354,2023-01-27,Basic,199,11.1,8.0,4.0,12,32.0,Yes
355,2024-02-02,Basic,199,,5.0,3.0,23,0.0,Yes
356,2024-01-25,Basic,199,22.7,3.0,4.0,36,33.0,Yes
357,2024-03-21,Basic,199,7.1,4.0,3.0,9,9.0,Yes
358,2024-10-02,,399,7.8,1.0,2.0,27,16.0,No
359,2023-12-07,Standard,399,11.7,2.0,2.0,13,0.0,No
360,2024-10-28,Premium,699,20.2,5.0,,25,,Yes
361,2024-02-12,Premium,699,7.9,3.0,,9,20.0,Yes
362,2024-01-21,Standard,399,18.5,7.0,4.0,19,50.0,Yes
363,2024-07-17,Standard,399,9.4,3.0,4.0,26,34.0,Yes
364,2024-12-10,,199,23.6,3.0,3.0,30,51.0,Yes
365,2024-11-05,Basic,199,17.0,2.0,5.0,27,19.0,Yes
366,2024-02-15,Basic,199,19.8,1.0,3.0,28,38.0,Yes
367,2024-01-04,Premium,699,23.1,6.0,4.0,33,2.0,No
368,2024-11-11,Premium,699,,1.0,0.0,35,49.0,Yes
369,2024-02-14,Standard,399,,0.0,4.0,11,41.0,No
370,2024-06-15,Standard,399,3.1,1.0,,28,14.0,Yes
371,2024-12-08,Premium,699,11.4,6.0,3.0,15,49.0,Yes
372,2023-03-29,Premium,699,9.0,,3.0,10,6.0,Yes
373,2024-05-09,Basic,199,9.0,5.0,3.0,10,50.0,Yes
374,2024-12-28,Standard,399,2.9,,2.0,31,4.0,Yes
375,2023-09-07,Basic,199,21.3,1.0,5.0,2,51.0,Yes
376,2023-08-26,Premium,699,14.0,5.0,4.0,12,27.0,No
377,2023-07-22,Standard,399,5.1,6.0,3.0,12,1.0,No
378,2023-03-06,Standard,399,10.0,3.0,1.0,28,17.0,No
379,2024-04-13,Premium,699,20.1,8.0,1.0,7,23.0,Yes
380,2024-02-02,Basic,199,16.9,7.0,4.0,17,40.0,Yes
381,2023-06-26,,699,14.9,5.0,2.0,26,54.0,Yes
382,2023-09-02,Premium,699,23.0,,5.0,20,8.0,Yes
383,2023-05-22,Standard,399,5.0,2.0,4.0,8,24.0,Yes
384,2024-10-22,,699,10.9,7.0,5.0,25,34.0,Yes
385,2024-04-06,Basic,199,4.6,4.0,,36,11.0,Yes
386,2024-01-29,Premium,699,21.7,0.0,3.0,4,8.0,Yes
387,2024-03-30,Premium,699,16.5,6.0,5.0,33,31.0,Yes
388,2023-08-19,,399,,0.0,1.0,11,18.0,Yes
389,2024-05-22,Premium,699,4.6,,4.0,19,47.0,Yes
390,2024-01-11,Premium,699,3.3,1.0,2.0,33,49.0,Yes
391,2023-04-15,Premium,699,19.1,7.0,4.0,3,13.0,No
392,2023-03-31,Premium,699,7.8,0.0,3.0,16,16.0,Yes
393,2024-12-06,Standard,399,19.5,3.0,1.0,8,51.0,No
394,2023-03-02,Standard,399,4.6,,1.0,28,52.0,Yes
395,2023-10-27,Premium,699,13.5,8.0,1.0,23,20.0,No
396,2024-02-26,Standard,399,23.8,8.0,5.0,18,52.0,Yes
397,2023-05-30,Basic,199,21.7,2.0,5.0,18,55.0,Yes
398,2023-10-03,Premium,699,20.8,6.0,3.0,21,9.0,No
399,2023-04-06,Premium,699,9.7,1.0,5.0,27,,No
400,2024-08-18,Standard,399,18.9,5.0,,33,60.0,Yes
